"File","Line","Function","Kind","Text","EndsWithNewline","Evidence"
"src\act.wizard.c","139","","CALL","static bool objtemplate_save_affected_zones(struct char_data *ch, obj_vnum start, int obj_count,",,"   137: static bool objtemplate_create_one(obj_vnum vnum, const char *base_name, int number, int level,
   138:                                    const char *type_name, char *errmsg, size_t errmsg_sz);
   139: static bool objtemplate_save_affected_zones(struct char_data *ch, obj_vnum start, int obj_count,
   140:                                             char *errmsg, size_t errmsg_sz);
   141: 
   142: /* Local Globals */
   143: static struct recent_player *recent_list = NULL;  /** Global list of recent players */"
"src\act.wizard.c","1537","do_cheat","CALL","save_char(ch);",,"  1535:   }
  1536:   send_to_char(ch, ""Your level has been restored, for now!\r\n"");
  1537:   save_char(ch);
  1538: }
  1539: 
  1540: void return_to_char(struct char_data * ch)
  1541: {"
"src\act.wizard.c","1889","perform_room_reset","CALL","if (!save_zone(zone_rnum_value)) {",,"  1887: 
  1888:   add_to_save_list(zone_table[zone_rnum_value].number, SL_ZON);
  1889:   if (!save_zone(zone_rnum_value)) {
  1890:     send_to_char(ch, ""Unable to save zone data.\r\n"");
  1891:     return;
  1892:   }
  1893: "
"src\act.wizard.c","1975","perform_room_reset_delete","CALL","if (!save_zone(zone_rnum_value)) {",,"  1973: 
  1974:   add_to_save_list(zone_table[zone_rnum_value].number, SL_ZON);
  1975:   if (!save_zone(zone_rnum_value)) {
  1976:     send_to_char(ch, ""Unable to save zone data.\r\n"");
  1977:     return;
  1978:   }
  1979: "
"src\act.wizard.c","2517","show_room_resets","CALL","save_char(victim);",,"  2515: 
  2516:   gain_exp_regardless(victim, level_exp(GET_CLASS(victim), newlevel) - GET_EXP(victim), GET_LEVEL(ch));
  2517:   save_char(victim);
  2518: }
  2519: 
  2520: ACMD(do_restore)
  2521: {"
"src\act.wizard.c","3367","list_llog_entries","CALL","save_char(vict);",,"  3365:       break;
  3366:     }
  3367:     save_char(vict);
  3368:   }
  3369: }
  3370: 
  3371: /* single zone printing fn used by ""show zone"" so it's not repeated in the"
"src\act.wizard.c","4576","set_field_rejects_negative","CALL","save_char(vict);",,"  4574:   if (retval) {
  4575:     if (!is_file && !IS_NPC(vict))
  4576:       save_char(vict);
  4577:     if (is_file) {
  4578:       GET_PFILEPOS(cbuf) = player_i;
  4579:       save_char(cbuf);
  4580:       send_to_char(ch, ""Saved in file.\r\n"");"
"src\act.wizard.c","4579","set_field_rejects_negative","CALL","save_char(cbuf);",,"  4577:     if (is_file) {
  4578:       GET_PFILEPOS(cbuf) = player_i;
  4579:       save_char(cbuf);
  4580:       send_to_char(ch, ""Saved in file.\r\n"");
  4581:     }
  4582:   }
  4583: "
"src\act.wizard.c","4595","set_field_rejects_negative","CALL","save_all();",,"  4593:     send_to_char (ch, ""You are not holy enough to use this privelege.\n\r"");
  4594:  else {
  4595:     save_all();
  4596:     House_save_all();
  4597:     send_to_char(ch, ""World and house files saved.\n\r"");
  4598:  }
  4599: }"
"src\act.wizard.c","5362","trg_checkload","CALL","save_char(och);",,"  5360:       GET_LOADROOM(och) = GET_ROOM_VNUM(IN_ROOM(och));
  5361:       Crash_rentsave(och,0);
  5362:       save_char(och);
  5363:       write_to_descriptor (d->descriptor, buf);
  5364:     }
  5365:   }
  5366: "
"src\act.wizard.c","6042","change_player_name","CALL","save_player_index();",,"  6040: 
  6041:   /* Save the changed player index - the pfile is saved by perform_set */
  6042:   save_player_index();
  6043: 
  6044:   mudlog(BRF, LVL_IMMORT, TRUE, ""(GC) %s changed the name of %s to %s"", GET_NAME(ch), old_name, new_name);
  6045: 
  6046:   if (vict->desc)  /* Descriptor is set if the victim is logged in */"
"src\act.wizard.c","6082","change_player_name","CALL","if (save_zone(zn)) {",,"  6080:           counter++;
  6081:           SET_BIT_AR(ZONE_FLAGS(zn), ZONE_NOBUILD);
  6082:           if (save_zone(zn)) {
  6083:             log(""(GC) %s has locked zone %d"", GET_NAME(ch), zone_table[zn].number);
  6084:           } else {
  6085:             fail = TRUE;
  6086:           }"
"src\act.wizard.c","6094","change_player_name","CALL","if (save_zone(zn)) {",,"  6092:           counter++;
  6093:           SET_BIT_AR(ZONE_FLAGS(zn), ZONE_NOBUILD);
  6094:           if (save_zone(zn)) {
  6095:             log(""(GC) %s has locked zone %d"", GET_NAME(ch), zone_table[zn].number);
  6096:           } else {
  6097:             fail = TRUE;
  6098:           }"
"src\act.wizard.c","6153","change_player_name","CALL","if (save_zone(zn)) {",,"  6151:   }
  6152:   SET_BIT_AR(ZONE_FLAGS(zn), ZONE_NOBUILD);
  6153:   if (save_zone(zn)) {
  6154:     mudlog(NRM, MAX(LVL_GRGOD, GET_INVIS_LEV(ch)), TRUE, ""(GC) %s has locked zone %d"", GET_NAME(ch), znvnum);
  6155:   }
  6156:   else
  6157:   {"
"src\act.wizard.c","6501","free_areatemplate_room_strings","CALL","static bool save_roomtemplate_zone(struct char_data *ch, zone_rnum rznum, char *errmsg, size_t errmsg_sz)",,"  6499: }
  6500: 
  6501: static bool save_roomtemplate_zone(struct char_data *ch, zone_rnum rznum, char *errmsg, size_t errmsg_sz)
  6502: {
  6503:   add_to_save_list(zone_table[rznum].number, SL_WLD);
  6504:   if (!save_rooms(rznum)) {
  6505:     snprintf(errmsg, errmsg_sz, ""Room data could not be saved to disk.\r\n"");"
"src\act.wizard.c","6504","save_roomtemplate_zone","CALL","if (!save_rooms(rznum)) {",,"  6502: {
  6503:   add_to_save_list(zone_table[rznum].number, SL_WLD);
  6504:   if (!save_rooms(rznum)) {
  6505:     snprintf(errmsg, errmsg_sz, ""Room data could not be saved to disk.\r\n"");
  6506:     return FALSE;
  6507:   }
  6508: "
"src\act.wizard.c","6505","save_roomtemplate_zone","MESSAGE","Room data could not be saved to disk.\r\n","True","  6504:   if (!save_rooms(rznum)) {
  6505:     snprintf(errmsg, errmsg_sz, ""Room data could not be saved to disk.\r\n"");
  6506:     return FALSE;
  6507:   }
  6508: 
  6509:   mudlog(CMP, MAX(LVL_BUILDER, GET_INVIS_LEV(ch)), TRUE,"
"src\act.wizard.c","6722","mobtemplate_range_is_clear","CALL","static bool mobtemplate_save_affected_zones(struct char_data *ch, mob_vnum start, int mob_count,",,"  6720: }
  6721: 
  6722: static bool mobtemplate_save_affected_zones(struct char_data *ch, mob_vnum start, int mob_count,
  6723:                                             char *errmsg, size_t errmsg_sz)
  6724: {
  6725:   bool *saved;
  6726:   int i;"
"src\act.wizard.c","6745","mobtemplate_range_is_clear","CALL","if (!save_mobiles(rznum)) {",,"  6743:       continue;
  6744: 
  6745:     if (!save_mobiles(rznum)) {
  6746:       free(saved);
  6747:       snprintf(errmsg, errmsg_sz, ""Failed saving mobile data for zone %d.\r\n"",
  6748:                zone_table[rznum].number);
  6749:       return FALSE;"
"src\act.wizard.c","6854","mobtemplate_range_is_clear","CALL","if (!mobtemplate_save_affected_zones(ch, start_vnum, mob_count, errmsg, sizeof(errmsg))) {",,"  6852:   }
  6853: 
  6854:   if (!mobtemplate_save_affected_zones(ch, start_vnum, mob_count, errmsg, sizeof(errmsg))) {
  6855:     send_to_char(ch, ""%s"", errmsg);
  6856:     return;
  6857:   }
  6858: "
"src\act.wizard.c","7187","mobtemplate_range_is_clear","CALL","if (!save_rooms(new_zone_rnum)) {",,"  7185:   add_to_save_list(zone_table[new_zone_rnum].number, SL_ZON);
  7186: 
  7187:   if (!save_rooms(new_zone_rnum)) {
  7188:     send_to_char(ch, ""Room data could not be saved to disk.\r\n"");
  7189:     return;
  7190:   }
  7191:   if (!save_zone(new_zone_rnum)) {"
"src\act.wizard.c","7188","mobtemplate_range_is_clear","MESSAGE","Room data could not be saved to disk.\r\n","True","  7187:   if (!save_rooms(new_zone_rnum)) {
  7188:     send_to_char(ch, ""Room data could not be saved to disk.\r\n"");
  7189:     return;
  7190:   }
  7191:   if (!save_zone(new_zone_rnum)) {
  7192:     send_to_char(ch, ""Zone data could not be saved to disk.\r\n"");"
"src\act.wizard.c","7191","mobtemplate_range_is_clear","CALL","if (!save_zone(new_zone_rnum)) {",,"  7189:     return;
  7190:   }
  7191:   if (!save_zone(new_zone_rnum)) {
  7192:     send_to_char(ch, ""Zone data could not be saved to disk.\r\n"");
  7193:     return;
  7194:   }
  7195: "
"src\act.wizard.c","7192","mobtemplate_range_is_clear","MESSAGE","Zone data could not be saved to disk.\r\n","True","  7191:   if (!save_zone(new_zone_rnum)) {
  7192:     send_to_char(ch, ""Zone data could not be saved to disk.\r\n"");
  7193:     return;
  7194:   }
  7195: 
  7196:   send_to_char(ch,"
"src\act.wizard.c","7280","mobtemplate_range_is_clear","CALL","if (!save_roomtemplate_zone(ch, owning_zone, errmsg, sizeof(errmsg))) {",,"  7278:   link_areatemplate_rooms(start_room_vnum, room_count, width,
  7279:                           &ew_links, &ns_links, &skipped_neighbors);
  7280:   if (!save_roomtemplate_zone(ch, owning_zone, errmsg, sizeof(errmsg))) {
  7281:     send_to_char(ch, ""%s"", errmsg);
  7282:     return;
  7283:   }
  7284: "
"src\act.wizard.c","7522","objtemplate_apply_defaults","CALL","static bool objtemplate_save_affected_zones(struct char_data *ch, obj_vnum start, int obj_count,",,"  7520: }
  7521: 
  7522: static bool objtemplate_save_affected_zones(struct char_data *ch, obj_vnum start, int obj_count,
  7523:                                             char *errmsg, size_t errmsg_sz)
  7524: {
  7525:   bool *saved;
  7526:   int i;"
"src\act.wizard.c","7542","objtemplate_apply_defaults","CALL","if (!save_objects(rznum)) {",,"  7540:     if (saved[rznum])
  7541:       continue;
  7542:     if (!save_objects(rznum)) {
  7543:       free(saved);
  7544:       snprintf(errmsg, errmsg_sz, ""Failed saving object data for zone %d.\r\n"", zone_table[rznum].number);
  7545:       return FALSE;
  7546:     }"
"src\act.wizard.c","7646","objtemplate_apply_defaults","CALL","if (!objtemplate_save_affected_zones(ch, start_vnum, obj_count, errmsg, sizeof(errmsg))) {",,"  7644:   }
  7645: 
  7646:   if (!objtemplate_save_affected_zones(ch, start_vnum, obj_count, errmsg, sizeof(errmsg))) {
  7647:     send_to_char(ch, ""%s"", errmsg);
  7648:     return;
  7649:   }
  7650: "
"src\act.wizard.c","7692","objtemplate_apply_defaults","CALL","if (save_zone(zn)) {",,"  7690:         counter++;
  7691:         REMOVE_BIT_AR(ZONE_FLAGS(zn), ZONE_NOBUILD);
  7692:         if (save_zone(zn)) {
  7693:           log(""(GC) %s has unlocked zone %d"", GET_NAME(ch), zone_table[zn].number);
  7694:         } else {
  7695:           fail = TRUE;
  7696:         }"
"src\act.wizard.c","7750","objtemplate_apply_defaults","CALL","if (save_zone(zn)) {",,"  7748:   }
  7749:   REMOVE_BIT_AR(ZONE_FLAGS(zn), ZONE_NOBUILD);
  7750:   if (save_zone(zn)) {
  7751:     mudlog(NRM, MAX(LVL_GRGOD, GET_INVIS_LEV(ch)), TRUE, ""(GC) %s has unlocked zone %d"", GET_NAME(ch), znvnum);
  7752:   }
  7753:   else
  7754:   {"
"src\act.wizard.c","8069","perform_push","CALL","if (!save_char(vict)) {",,"  8067: 
  8068:   GET_LOADROOM(vict) = GET_ROOM_VNUM(IN_ROOM(vict));
  8069:   if (!save_char(vict)) {
  8070:     send_to_char(ch, ""Unable to save that player; push aborted.\r\n"");
  8071:     return;
  8072:   }
  8073:   Crash_rentsave(vict, 0); /* Persist and detach equipment/inventory before extraction. */"
"src\aedit.c","26","","CALL","static void aedit_save_to_disk(struct descriptor_data *d);",,"    24: static int aedit_find_command(const char *txt);
    25: static void aedit_disp_menu(struct descriptor_data * d);
    26: static void aedit_save_to_disk(struct descriptor_data *d);
    27: /* used in aedit parse */
    28: static void aedit_setup_new(struct descriptor_data *d);
    29: static void aedit_setup_existing(struct descriptor_data *d, int real_num);
    30: static void aedit_save_internally(struct descriptor_data *d);"
"src\aedit.c","73","","CALL","aedit_save_to_disk(d);",,"    71:     mudlog(CMP, MAX(LVL_BUILDER, GET_INVIS_LEV(ch)), TRUE, ""OLC: %s saves socials."", GET_NAME(ch));
    72:     send_to_char(ch, ""Writing social file.\r\n"");
    73:     aedit_save_to_disk(d);
    74:     send_to_char(ch, ""Done.\r\n"");
    75:     return;
    76:   }
    77: "
"src\aedit.c","200","aedit_save_internally","CALL","aedit_save_to_disk(d); /* autosave by Rumble */",,"   198: 
   199:    add_to_save_list(AEDIT_PERMISSION, SL_ACT);
   200:    aedit_save_to_disk(d); /* autosave by Rumble */
   201: }
   202: 
   203: static void aedit_save_to_disk(struct descriptor_data *d) {
   204:    FILE *fp;"
"src\aedit.c","203","aedit_save_to_disk","CALL","static void aedit_save_to_disk(struct descriptor_data *d) {",,"   201: }
   202: 
   203: static void aedit_save_to_disk(struct descriptor_data *d) {
   204:    FILE *fp;
   205:    int i;
   206:    char buf[MAX_STRING_LENGTH];
   207:    if (!(fp = fopen(SOCMESS_FILE_NEW, ""w+"")))  {"
"src\aedit.c","338","aedit_parse","MESSAGE","Action saved to disk.\r\n","True","   337:          cleanup_olc(d, CLEANUP_STRUCTS);
   338:          write_to_output(d, ""Action saved to disk.\r\n"");
   339:          break;
   340:        case 'n': case 'N':
   341:          /* free everything up, including strings etc */
   342:          cleanup_olc(d, CLEANUP_ALL);"
"src\aedit.c","345","aedit_parse","MESSAGE","Invalid choice!\r\nDo you wish to save your changes? : ","False","   344:        default:
   345:          write_to_output(d, ""Invalid choice!\r\n""
   346:                             ""Do you wish to save your changes? : "");
   347:          break;
   348:       }
   349:       return; /* end of AEDIT_CONFIRM_SAVESTRING */"
"src\aedit.c","407","aedit_parse","MESSAGE","Do you wish to save your changes? : ","False","   406:          if (OLC_VAL(d))  { /* Something was modified */
   407:             write_to_output(d, ""Do you wish to save your changes? : "");
   408:             OLC_MODE(d) = AEDIT_CONFIRM_SAVESTRING;
   409:          }
   410:          else cleanup_olc(d, CLEANUP_ALL);
   411:          break;"
"src\cedit.c","72","","CALL","cedit_save_to_disk();",,"    70:     ""OLC: %s saves the game configuration."", GET_NAME(ch));
    71: 
    72:   cedit_save_to_disk();
    73: }
    74: 
    75: static void cedit_setup(struct descriptor_data *d)
    76: {"
